ticket,percentage,price,percentage_in_value,number_of_quotes_to_buy,last_buy,number_of_quotes_in_wallet
ASAI3,5.0,14.45,250.0,17.0,26/03/2024,0
VIVA3,5.0,24.68,250.0,10.0,,0
VALE3,5.0,60.05,250.0,4.0,26/03/2024,0
BPAC11,10.0,37.29,500.0,13.0,26/03/2024,0
CPLE6,10.0,9.75,500.0,51.0,"",0
CSAN3,7.5,16.01,375.0,23.0,26/03/2024,0
ELET3,10.0,42.43,500.0,12.0,26/03/2024,0
ITUB4,10.0,34.39,500.0,15.0,,21
MILS3,7.5,13.5,375.0,28.0,26/03/2024,0
MULT3,7.5,26.2,375.0,14.0,26/03/2024,0
PETR4,10.0,36.26,500.0,14.0,26/03/2024,60
RAPT4,5.0,12.65,250.0,20.0,26/03/2024,0
VIVT3,7.5,50.59,375.0,7.0,23/03/2024,0
